genus	conserved	fragmented	disrupted	c_ratio	f_ratio	d_ratio
Abiotrophia	1	0	0	1.0	0.0	0.0
Acetilactobacillus	0	1	0	0.0	1.0	0.0
Aerococcus	7	0	0	1.0	0.0	0.0
Agrilactobacillus	3	0	0	1.0	0.0	0.0
Alkalibacterium	7	0	0	1.0	0.0	0.0
Allofustis	1	0	0	1.0	0.0	0.0
Alloiococcus	1	0	0	1.0	0.0	0.0
Amylolactobacillus	2	0	0	1.0	0.0	0.0
Apilactobacillus	12	0	0	1.0	0.0	0.0
Atopobacter	1	0	0	1.0	0.0	0.0
Atopococcus	1	0	0	1.0	0.0	0.0
Atopostipes	1	0	0	1.0	0.0	0.0
Bavariicoccus	1	0	0	1.0	0.0	0.0
Bombilactobacillus	6	0	0	1.0	0.0	0.0
Carnobacterium	11	0	0	1.0	0.0	0.0
Catellicoccus	1	0	0	1.0	0.0	0.0
Companilactobacillus	34	0	0	1.0	0.0	0.0
Convivina	0	0	1	0.0	0.0	1.0
Dellaglioa	2	0	0	1.0	0.0	0.0
Desemzia	1	0	0	1.0	0.0	0.0
Dolosicoccus	0	1	0	0.0	1.0	0.0
Dolosigranulum	1	0	0	1.0	0.0	0.0
Enterococcus	59	0	1	0.98	0.0	0.02
Eremococcus	1	0	0	1.0	0.0	0.0
Facklamia	4	0	0	1.0	0.0	0.0
Falseniella	1	0	0	1.0	0.0	0.0
Floricoccus	0	2	0	0.0	1.0	0.0
Fructilactobacillus	9	0	0	1.0	0.0	0.0
Fructobacillus	0	0	12	0.0	0.0	1.0
Fundicoccus	1	0	0	1.0	0.0	0.0
Furfurilactobacillus	3	0	0	1.0	0.0	0.0
Globicatella	2	0	0	1.0	0.0	0.0
Granulicatella	3	0	0	1.0	0.0	0.0
Holzapfeliella	0	1	0	0.0	1.0	0.0
Hutsoniella	1	0	0	1.0	0.0	0.0
Ignavigranum	1	0	0	1.0	0.0	0.0
Isobaculum	1	0	0	1.0	0.0	0.0
Jeotgalibaca	4	0	0	1.0	0.0	0.0
Lacticaseibacillus	28	0	0	1.0	0.0	0.0
Lacticigenium	1	0	0	1.0	0.0	0.0
Lactiplantibacillus	17	0	0	1.0	0.0	0.0
Lactobacillus	45	0	0	1.0	0.0	0.0
Lactococcus	0	21	3	0.0	0.88	0.12
Lactovum	0	0	1	0.0	0.0	1.0
Lapidilactobacillus	8	0	0	1.0	0.0	0.0
Latilactobacillus	5	0	0	1.0	0.0	0.0
Lentilactobacillus	18	1	0	0.95	0.05	0.0
Leuconostoc	0	16	1	0.0	0.94	0.06
Levilactobacillus	30	0	0	1.0	0.0	0.0
Ligilactobacillus	18	0	0	1.0	0.0	0.0
Limosilactobacillus	29	0	0	1.0	0.0	0.0
Liquorilactobacillus	13	0	0	1.0	0.0	0.0
Loigolactobacillus	8	0	0	1.0	0.0	0.0
Marinilactibacillus	3	0	0	1.0	0.0	0.0
Melissococcus	1	0	0	1.0	0.0	0.0
Nicoliella	1	0	0	1.0	0.0	0.0
Oenococcus	0	0	3	0.0	0.0	1.0
Paucilactobacillus	7	0	0	1.0	0.0	0.0
Pediococcus	10	0	0	1.0	0.0	0.0
Periweissella	0	5	0	0.0	1.0	0.0
Philodulcilactobacillus	1	0	0	1.0	0.0	0.0
Pilibacter	0	1	0	0.0	1.0	0.0
Pisciglobus	1	0	0	1.0	0.0	0.0
Ruoffia	2	0	0	1.0	0.0	0.0
Schleiferilactobacillus	4	0	0	1.0	0.0	0.0
Secundilactobacillus	14	0	0	1.0	0.0	0.0
Streptococcus	0	104	12	0.0	0.9	0.1
Suicoccus	1	0	0	1.0	0.0	0.0
Tetragenococcus	5	0	0	1.0	0.0	0.0
Trichococcus	9	0	0	1.0	0.0	0.0
Vaginisenegalia	1	0	0	1.0	0.0	0.0
Vagococcus	22	1	0	0.96	0.04	0.0
Weissella	0	14	8	0.0	0.64	0.36
