genus	species	cluster
Abiotrophia	defectiva	C
Acetilactobacillus	jinshanensis	F
Aerococcus	christensenii	C
Aerococcus	sanguinicola	C
Aerococcus	suis	C
Aerococcus	urinae	C
Aerococcus	urinaeequi	C
Aerococcus	urinaehominis	C
Aerococcus	viridans	C
Agrilactobacillus	composti	C
Agrilactobacillus	fermenti	C
Agrilactobacillus	yilanensis	C
Alkalibacterium	gilvum	C
Alkalibacterium	kapii	C
Alkalibacterium	olivapovliticus	C
Alkalibacterium	pelagium	C
Alkalibacterium	putridalgicola	C
Alkalibacterium	subtropicum	C
Alkalibacterium	thalassium	C
Allofustis	seminis	C
Alloiococcus	otitis	C
Amylolactobacillus	amylophilus	C
Amylolactobacillus	amylotrophicus	C
Apilactobacillus	apinorum	C
Apilactobacillus	apisilvae	C
Apilactobacillus	bombintestini	C
Apilactobacillus	kunkeei	C
Apilactobacillus	micheneri	C
Apilactobacillus	nanyangensis	C
Apilactobacillus	ozensis	C
Apilactobacillus	quenuiae	C
Apilactobacillus	timberlakei	C
Apilactobacillus	waqarii	C
Apilactobacillus	xinyiensis	C
Apilactobacillus	zhangqiuensis	C
Atopobacter	phocae	C
Atopococcus	tabaci	C
Atopostipes	suicloacalis	C
Bavariicoccus	seileri	C
Bombilactobacillus	apium	C
Bombilactobacillus	bombi	C
Bombilactobacillus	folatiphilus	C
Bombilactobacillus	mellifer	C
Bombilactobacillus	mellis	C
Bombilactobacillus	thymidiniphilus	C
Carnobacterium	alterfunditum	C
Carnobacterium	divergens	C
Carnobacterium	funditum	C
Carnobacterium	gallinarum	C
Carnobacterium	iners	C
Carnobacterium	inhibens	C
Carnobacterium	jeotgali	C
Carnobacterium	maltaromaticum	C
Carnobacterium	mobile	C
Carnobacterium	pleistocenium	C
Carnobacterium	viridans	C
Catellicoccus	marimammalium	C
Companilactobacillus	alimentarius	C
Companilactobacillus	allii	C
Companilactobacillus	baiquanensis	C
Companilactobacillus	bobalius	C
Companilactobacillus	crustorum	C
Companilactobacillus	farciminis	C
Companilactobacillus	formosensis	C
Companilactobacillus	furfuricola	C
Companilactobacillus	futsaii	C
Companilactobacillus	ginsenosidimutans	C
Companilactobacillus	halodurans	C
Companilactobacillus	heilongjiangensis	C
Companilactobacillus	huachuanensis	C
Companilactobacillus	hulinensis	C
Companilactobacillus	insicii	C
Companilactobacillus	jidongensis	C
Companilactobacillus	kedongensis	C
Companilactobacillus	keshanensis	C
Companilactobacillus	kimchiensis	C
Companilactobacillus	kimchii	C
Companilactobacillus	metriopterae	C
Companilactobacillus	mindensis	C
Companilactobacillus	mishanensis	C
Companilactobacillus	musae	C
Companilactobacillus	nantensis	C
Companilactobacillus	nodensis	C
Companilactobacillus	nuruki	C
Companilactobacillus	pabuli	C
Companilactobacillus	paralimentarius	C
Companilactobacillus	suantsaicola	C
Companilactobacillus	tucceti	C
Companilactobacillus	versmoldensis	C
Companilactobacillus	zhachilii	C
Companilactobacillus	zhongbaensis	C
Convivina	intestini	D
Dellaglioa	algida	C
Dellaglioa	sp.	C
Desemzia	incerta	C
Dolosicoccus	paucivorans	F
Dolosigranulum	pigrum	C
Enterococcus	alcedinis	C
Enterococcus	alishanensis	C
Enterococcus	aquimarinus	C
Enterococcus	asini	C
Enterococcus	avium	C
Enterococcus	caccae	C
Enterococcus	canintestini	C
Enterococcus	canis	C
Enterococcus	casseliflavus	C
Enterococcus	cecorum	C
Enterococcus	columbae	C
Enterococcus	crotali	C
Enterococcus	devriesei	C
Enterococcus	diestrammenae	C
Enterococcus	dispar	C
Enterococcus	durans	C
Enterococcus	faecalis	C
Enterococcus	faecium	C
Enterococcus	florum	C
Enterococcus	gallinarum	C
Enterococcus	gilvus	C
Enterococcus	haemoperoxidus	C
Enterococcus	hermanniensis	C
Enterococcus	hirae	C
Enterococcus	hulanensis	C
Enterococcus	innesii	C
Enterococcus	italicus	C
Enterococcus	lactis	C
Enterococcus	larvae	C
Enterococcus	lemanii	C
Enterococcus	malodoratus	C
Enterococcus	massiliensis	C
Enterococcus	mediterraneensis	C
Enterococcus	moraviensis	C
Enterococcus	mundtii	C
Enterococcus	nangangensis	D
Enterococcus	pallens	C
Enterococcus	phoeniculicola	C
Enterococcus	pingfangensis	C
Enterococcus	plantarum	C
Enterococcus	pseudoavium	C
Enterococcus	quebecensis	C
Enterococcus	raffinosus	C
Enterococcus	ratti	C
Enterococcus	rivorum	C
Enterococcus	rotai	C
Enterococcus	saccharolyticus	C
Enterococcus	saigonensis	C
Enterococcus	silesiacus	C
Enterococcus	songbeiensis	C
Enterococcus	sulfureus	C
Enterococcus	termitis	C
Enterococcus	thailandicus	C
Enterococcus	timonensis	C
Enterococcus	ureasiticus	C
