genus name	total	%
Streptococcus	116	16.67
Enterococcus	60	8.62
Lactobacillus	45	6.47
Companilactobacillus	34	4.89
Levilactobacillus	30	4.31
Limosilactobacillus	29	4.17
Lacticaseibacillus	28	4.02
Lactococcus	24	3.45
Vagococcus	23	3.3
Weissella	22	3.16
Lentilactobacillus	19	2.73
Ligilactobacillus	18	2.59
Leuconostoc	17	2.44
Lactiplantibacillus	17	2.44
Secundilactobacillus	15	2.16
Liquorilactobacillus	13	1.87
Fructobacillus	12	1.72
Apilactobacillus	12	1.72
Carnobacterium	11	1.58
Pediococcus	10	1.44
Fructilactobacillus	9	1.29
Trichococcus	9	1.29
Lapidilactobacillus	8	1.15
Loigolactobacillus	8	1.15
Paucilactobacillus	7	1.01
Alkalibacterium	7	1.01
Aerococcus	7	1.01
Bombilactobacillus	6	0.86
Latilactobacillus	5	0.72
Tetragenococcus	5	0.72
Periweissella	5	0.72
Facklamia	4	0.57
Jeotgalibaca	4	0.57
Schleiferilactobacillus	3	0.43
Agrilactobacillus	3	0.43
Granulicatella	3	0.43
Marinilactibacillus	3	0.43
Furfurilactobacillus	3	0.43
Oenococcus	3	0.43
Floricoccus	2	0.29
Amylolactobacillus	2	0.29
Ruoffia	2	0.29
Dellaglioa	2	0.29
Globicatella	2	0.29
Vaginisenegalia	1	0.14
Melissococcus	1	0.14
Nicoliella	1	0.14
Philodulcilactobacillus	1	0.14
Pilibacter	1	0.14
Pisciglobus	1	0.14
Suicoccus	1	0.14
Abiotrophia	1	0.14
Lactovum	1	0.14
Desemzia	1	0.14
Allofustis	1	0.14
Alloiococcus	1	0.14
Atopobacter	1	0.14
Atopococcus	1	0.14
Atopostipes	1	0.14
Bavariicoccus	1	0.14
Catellicoccus	1	0.14
Convivina	1	0.14
Dolosicoccus	1	0.14
Lacticigenium	1	0.14
Dolosigranulum	1	0.14
Eremococcus	1	0.14
Falseniella	1	0.14
Fundicoccus	1	0.14
Holzapfeliella	1	0.14
Hutsoniella	1	0.14
Ignavigranum	1	0.14
Acetilactobacillus	1	0.14
Isobaculum	1	0.14
