genus	MraZ	MraW	FtsL	FtsI	MurE	MurF	MraY	MurD	FtsW	MurG	MurC	MurB	MurA	DdlB	FtsQ	FtsA	FtsZ
Abiotrophia	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
Acetilactobacillus	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aerococcus	1.0	1.0	1.0	1.0	1.286	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	0.857	1.0
Agrilactobacillus	1.0	1.0	1.0	1.0	0.667	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Alkalibacterium	1.0	1.0	1.0	1.0	2.714	1.0	1.0	1.0	2.0	1.0	1.0	0.714	2.0	1.0	1.0	1.0	1.0
Allofustis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
Alloiococcus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
Amylolactobacillus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0
Apilactobacillus	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.917	1.0	1.0	1.0	1.917	1.0	1.0	1.0	1.0
Atopobacter	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0
Atopococcus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
Atopostipes	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
Bavariicoccus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0
