genus	MraZ	MraW	FtsL	FtsI	MurE	MurF	MraY	MurD	FtsW	MurG	MurC	MurB	MurA	DdlB	FtsQ	FtsA	FtsZ
Abiotrophia	3.0	3.0	0.0	1.0	1.0	2.0	2.0	1.0	5.0	3.0	3.0	3.0	6.0	4.0	1.0	3.0	3.0
Acetilactobacillus	0.0	1.0	0.0	2.0	1.0	3.0	3.0	0.0	9.0	3.0	2.0	1.0	0.0	2.0	3.0	3.0	3.0
Aerococcus	3.0	3.0	2.3	2.0	1.4	2.1	1.9	1.3	2.6	3.0	2.1	2.9	5.7	3.7	2.0	2.6	2.9
Agrilactobacillus	3.0	0.7	2.0	3.0	1.3	3.0	3.0	3.0	8.3	3.0	1.0	2.7	3.0	4.0	3.0	3.0	3.0
Alkalibacterium	3.0	3.0	2.6	2.6	2.7	2.0	2.4	2.1	6.3	2.3	3.0	2.1	6.0	4.0	2.9	0.9	3.0
Allofustis	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	6.0	0.0	3.0	3.0	6.0	4.0	3.0	1.0	2.0
Alloiococcus	3.0	3.0	3.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	3.0	2.0	6.0	4.0	2.0	2.0	3.0
Amylolactobacillus	3.0	0.0	2.0	3.0	3.0	3.0	3.0	1.0	9.0	2.0	0.0	3.0	3.0	2.0	1.0	0.0	3.0
Apilactobacillus	1.5	2.8	1.6	2.9	2.0	2.8	2.8	2.0	4.8	2.7	3.0	2.6	3.3	2.8	2.0	3.0	2.9
Atopobacter	3.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	3.0	5.0	4.0	0.0	3.0	3.0
Atopococcus	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	8.0	3.0	3.0	3.0	6.0	4.0	3.0	3.0	3.0
Atopostipes	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	8.0	0.0	3.0	3.0	6.0	4.0	3.0	1.0	2.0
Bavariicoccus	3.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	5.0	2.0	3.0	3.0	6.0	4.0	0.0	3.0	3.0
Bombilactobacillus	2.0	0.0	1.7	2.0	2.8	2.2	1.5	2.5	7.8	2.8	2.3	2.5	1.0	0.0	2.8	0.7	1.5
Carnobacterium	3.0	3.0	2.7	3.0	2.2	3.0	3.0	3.0	10.9	3.0	3.0	3.0	6.0	4.7	3.0	3.0	3.0
Catellicoccus	0.0	3.0	2.0	3.0	3.0	3.0	3.0	1.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0
Companilactobacillus	3.0	0.0	2.5	3.0	1.8	1.7	2.7	2.4	8.4	2.9	3.0	3.0	4.8	0.0	2.9	2.6	2.7
Convivina	3.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Dellaglioa	3.0	3.0	2.0	3.0	1.0	3.0	3.0	3.0	10.0	3.0	3.0	3.0	3.5	6.0	3.0	3.0	3.0
Desemzia	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	10.0	3.0	3.0	3.0	6.0	4.0	3.0	3.0	3.0
Dolosicoccus	0.0	3.0	0.0	0.0	1.0	2.0	3.0	0.0	3.0	2.0	3.0	3.0	6.0	4.0	0.0	3.0	3.0
Dolosigranulum	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	3.0	3.0	3.0	6.0	4.0	3.0	2.0	3.0
Enterococcus	3.0	3.0	2.6	3.1	2.7	2.9	3.0	2.9	10.5	2.8	3.0	3.0	5.9	4.2	3.0	3.0	3.0
Eremococcus	3.0	3.0	0.0	0.0	1.0	2.0	1.0	1.0	3.0	2.0	3.0	2.0	6.0	4.0	1.0	3.0	3.0
Facklamia	2.2	2.2	0.0	1.0	1.0	2.0	1.2	0.2	4.0	2.2	3.0	2.8	6.0	4.0	0.8	3.0	3.0
Falseniella	3.0	2.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	1.0	3.0	3.0	6.0	4.0	2.0	3.0	3.0
Floricoccus	0.0	2.0	0.5	1.5	3.0	1.0	1.5	3.0	8.0	2.0	1.5	3.0	6.0	3.0	2.5	3.0	1.0
Fructilactobacillus	3.0	2.7	0.4	2.0	1.3	2.4	2.1	2.3	5.3	3.0	3.0	2.3	3.0	2.6	0.2	1.4	0.3
Fructobacillus	1.5	0.8	0.2	0.0	1.1	0.0	0.0	0.0	3.0	2.4	0.0	0.0	0.0	0.2	0.0	0.0	0.0
Fundicoccus	3.0	0.0	0.0	2.0	1.0	2.0	3.0	2.0	4.0	3.0	3.0	3.0	6.0	4.0	2.0	3.0	3.0
Furfurilactobacillus	3.0	3.0	2.3	3.0	2.3	3.0	1.7	3.0	10.0	3.0	3.0	2.3	5.7	0.7	3.0	3.0	3.0
Globicatella	3.0	3.0	0.0	1.0	1.0	2.0	3.0	1.0	3.0	0.0	3.0	3.0	6.0	4.0	0.5	3.0	3.0
Granulicatella	3.0	3.0	2.3	2.0	1.0	2.0	2.3	3.0	5.7	3.0	3.0	3.0	6.0	4.0	1.3	3.0	3.0
Holzapfeliella	0.0	0.0	0.0	3.0	3.0	2.0	2.0	0.0	9.0	1.0	1.0	1.0	3.0	4.0	1.0	0.0	3.0
Hutsoniella	3.0	3.0	0.0	1.0	1.0	2.0	2.0	0.0	3.0	3.0	3.0	2.0	6.0	4.0	1.0	3.0	3.0
Ignavigranum	3.0	3.0	0.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	3.0	3.0	6.0	4.0	1.0	3.0	3.0
Isobaculum	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	10.0	3.0	3.0	3.0	6.0	4.0	3.0	3.0	3.0
Jeotgalibaca	3.0	3.0	2.0	2.8	1.0	2.2	3.0	3.0	8.8	3.0	3.0	3.0	6.0	4.0	3.0	3.0	3.0
Lacticaseibacillus	3.0	0.7	1.0	2.7	2.8	2.4	3.0	3.0	8.5	2.4	3.0	2.9	2.9	0.0	2.7	2.9	3.0
Lacticigenium	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	10.0	3.0	3.0	3.0	6.0	4.0	3.0	2.0	3.0
Lactiplantibacillus	3.0	3.0	2.4	3.0	1.0	3.0	3.0	3.0	9.9	3.0	3.0	3.0	4.8	3.9	3.0	3.0	3.0
