Prediction	Accession	Query
MraZ	WP_067972087.1	MraZ.1
MraZ	WP_068623235.1	MraZ.1
MraZ	WP_086628340.1	MraZ.1
MraZ	WP_106450693.1	MraZ.1
MraZ	WP_086943378.1	MraZ.1
MraZ	WP_086943378.1	MraZ.1
MraZ	WP_086943378.1	MraZ.1
MraZ	WP_068560018.1	MraZ.1
MraZ	WP_086985431.1	MraZ.1
MraZ	WP_067979837.1	MraZ.1
MraZ	WP_060777991.1	MraZ.1
MraZ	WP_208558841.1	MraZ.1
MraZ	WP_126111125.1	MraZ.1
MraZ	WP_087057186.1	MraZ.1
MraZ	WP_072694535.1	MraZ.1
MraZ	WP_091527774.1	MraZ.1
MraZ	WP_106190683.1	MraZ.1
MraZ	WP_060777416.1	MraZ.1
MraZ	WP_010053408.1	MraZ.1
MraZ	WP_034573446.1	MraZ.1
MraZ	WP_118990878.1	MraZ.1
MraZ	WP_047390067.1	MraZ.1
MraZ	WP_091489076.1	MraZ.1
MraZ	WP_092652596.1	MraZ.1
MraZ	WP_101954349.1	MraZ.1
MraZ	WP_091635025.1	MraZ.1
MraZ	WP_126808069.1	MraZ.1
MraZ	WP_034558730.1	MraZ.1
MraZ	WP_066125391.1	MraZ.1
MraZ	WP_066125391.1	MraZ.1
MraZ	WP_034550730.1	MraZ.1
MraZ	WP_022795450.1	MraZ.1
MraZ	WP_028119007.1	MraZ.1
MraZ	WP_091479011.1	MraZ.1
MraZ	WP_138403651.1	MraZ.1
MraZ	WP_166163074.1	MraZ.1
MraZ	WP_091264592.1	MraZ.1
MraZ	WP_067481326.1	MraZ.1
MraZ	WP_034548190.1	MraZ.1
MraZ	WP_040444523.1	MraZ.1
MraZ	WP_007207111.1	MraZ.1
MraZ	WP_002383402.1	MraZ.1
MraZ	WP_124057540.1	MraZ.1
MraZ	WP_146924353.1	MraZ.1
MraZ	WP_067626249.1	MraZ.1
MraZ	WP_135253464.1	MraZ.1
MraZ	WP_029594184.1	MraZ.1
MraZ	WP_025728763.1	MraZ.1
MraZ	WP_016183298.1	MraZ.1
MraZ	WP_023177379.1	MraZ.1
MraZ	WP_084098746.1	MraZ.1
MraZ	WP_166062120.1	MraZ.1
MraZ	WP_087033358.1	MraZ.1
MraZ	WP_125584874.1	MraZ.1
MraZ	WP_136953587.1	MraZ.1
MraZ	WP_109249344.1	MraZ.1
MraZ	WP_007723059.1	MraZ.1
MraZ	WP_209527533.1	MraZ.1
MraZ	WP_136137102.1	MraZ.1
MraZ	WP_054659724.1	MraZ.1
MraZ	WP_069634642.1	MraZ.1
MraZ	WP_089120835.1	MraZ.1
MraZ	WP_137609830.1	MraZ.1
MraZ	WP_034685495.1	MraZ.1
MraZ	WP_137630500.1	MraZ.1
MraZ	WP_010764035.1	MraZ.1
MraZ	WP_069655284.1	MraZ.1
MraZ	WP_125703099.1	MraZ.1
MraZ	WP_035053636.1	MraZ.1
MraZ	WP_054701244.1	MraZ.1
MraZ	WP_005228792.1	MraZ.1
MraZ	WP_005228792.1	MraZ.1
MraZ	WP_005881057.1	MraZ.1
MraZ	WP_073295222.1	MraZ.1
MraZ	WP_010762855.1	MraZ.1
MraZ	WP_010762855.1	MraZ.1
MraZ	WP_010762855.1	MraZ.1
MraZ	WP_010762855.1	MraZ.1
MraZ	WP_010762855.1	MraZ.1
MraZ	WP_010762855.1	MraZ.1
MraZ	WP_098825169.1	MraZ.1
MraZ	WP_125696257.1	MraZ.1
MraZ	WP_125696257.1	MraZ.1
MraZ	WP_069646474.1	MraZ.1
MraZ	WP_137617551.1	MraZ.1
MraZ	WP_028273798.1	MraZ.1
MraZ	WP_085560278.1	MraZ.1
MraZ	WP_203649103.1	MraZ.1
MraZ	WP_123935885.1	MraZ.1
MraZ	WP_006308031.1	MraZ.1
MraZ	WP_056992225.1	MraZ.1
MraZ	WP_065902934.1	MraZ.1
MraZ	WP_155432184.1	MraZ.1
MraZ	WP_086341247.1	MraZ.1
MraZ	WP_010771236.1	MraZ.1
MraZ	WP_002291870.1	MraZ.1
MraZ	WP_057893529.1	MraZ.1
MraZ	WP_089746029.1	MraZ.1
MraZ	WP_088933052.1	MraZ.1
MraZ	WP_124974922.1	MraZ.1
MraZ	WP_054736871.1	MraZ.1
MraZ	WP_016251188.1	MraZ.1
MraZ	WP_126791119.1	MraZ.1
MraZ	WP_054760142.1	MraZ.1
MraZ	WP_021149447.1	MraZ.1
MraZ	WP_088269709.1	MraZ.1
MraZ	WP_016172519.1	MraZ.1
MraZ	WP_010780217.1	MraZ.1
MraZ	WP_173102600.1	MraZ.1
MraZ	WP_090290117.1	MraZ.1
MraZ	WP_218324879.1	MraZ.1
MraZ	WP_126813300.1	MraZ.1
MraZ	WP_035022177.1	MraZ.1
MraZ	WP_092571898.1	MraZ.1
MraZ	WP_125755532.1	MraZ.1
MraZ	WP_003776245.1	MraZ.1
MraZ	WP_168925594.1	MraZ.1
MraZ	WP_125581168.1	MraZ.1
MraZ	WP_125581168.1	MraZ.1
MraZ	WP_275469653.1	MraZ.1
MraZ	WP_071863621.1	MraZ.1
MraZ	WP_230912543.1	MraZ.1
MraZ	WP_089109153.1	MraZ.1
MraZ	WP_002286645.1	MraZ.1
MraZ	WP_068707106.1	MraZ.1
MraZ	WP_245186844.1	MraZ.1
MraZ	WP_006418400.1	MraZ.1
MraZ	WP_057777394.1	MraZ.1
MraZ	WP_028789974.1	MraZ.1
MraZ	WP_010740490.1	MraZ.1
MraZ	WP_092479690.1	MraZ.1
MraZ	WP_016180546.1	MraZ.1
MraZ	WP_262316759.1	MraZ.1
MraZ	WP_208909372.1	MraZ.1
MraZ	WP_161868589.1	MraZ.1
MraZ	WP_216428429.1	MraZ.1
MraZ	WP_125577077.1	MraZ.1
MraZ	WP_067395345.1	MraZ.1
MraZ	WP_056980996.1	MraZ.1
MraZ	WP_010759625.1	MraZ.1
MraZ	WP_010754126.1	MraZ.1
MraZ	WP_124005038.1	MraZ.1
MraZ	WP_069699186.1	MraZ.1
MraZ	WP_126821815.1	MraZ.1
MraZ	WP_040470722.1	MraZ.1
MraZ	WP_054654735.1	MraZ.1
MraZ	WP_010622435.1	MraZ.1
MraZ	WP_137601756.1	MraZ.1
MraZ	WP_048735801.1	MraZ.1
MraZ	WP_048735801.1	MraZ.1
MraZ	WP_048735801.1	MraZ.1
MraZ	WP_014124143.1	MraZ.1
MraZ	WP_191683684.1	MraZ.1
MraZ	WP_010494692.1	MraZ.1
MraZ	WP_011374449.1	MraZ.1
MraZ	WP_071856470.1	MraZ.1
MraZ	WP_062471280.1	MraZ.1
MraZ	WP_125957098.1	MraZ.1
MraZ	WP_182579995.1	MraZ.1
MraZ	WP_071456404.1	MraZ.1
MraZ	WP_125640321.1	MraZ.1
MraZ	WP_054663594.1	MraZ.1
MraZ	WP_125688784.1	MraZ.1
MraZ	WP_137612681.1	MraZ.1
MraZ	WP_079347390.1	MraZ.1
MraZ	WP_218256106.1	MraZ.1
MraZ	WP_166033693.1	MraZ.1
MraZ	WP_188367699.1	MraZ.1
MraZ	WP_146622412.1	MraZ.1
MraZ	WP_251576463.1	MraZ.1
MraZ	WP_054676384.1	MraZ.1
MraZ	WP_057804136.1	MraZ.1
MraZ	WP_122647024.1	MraZ.1
MraZ	WP_071874977.1	MraZ.1
MraZ	WP_127848881.1	MraZ.1
MraZ	WP_025480670.1	MraZ.1
MraZ	WP_016175677.1	MraZ.1
MraZ	WP_045808025.1	MraZ.1
MraZ	WP_016897668.1	MraZ.1
MraZ	WP_014834189.1	MraZ.1
MraZ	WP_057890322.1	MraZ.1
MraZ	WP_125763100.1	MraZ.1
MraZ	WP_125763100.1	MraZ.1
MraZ	WP_125763100.1	MraZ.1
MraZ	WP_003143567.1	MraZ.1
MraZ	WP_061775867.1	MraZ.1
MraZ	WP_125581853.1	MraZ.1
MraZ	WP_023606029.1	MraZ.1
MraZ	WP_020088820.1	MraZ.1
MraZ	WP_020088820.1	MraZ.1
MraZ	WP_155285927.1	MraZ.1
MraZ	WP_126780646.1	MraZ.1
MraZ	WP_011668181.1	MraZ.1
MraZ	WP_057827717.1	MraZ.1
MraZ	WP_057827717.1	MraZ.1
MraZ	WP_057910852.1	MraZ.1
MraZ	WP_129031796.1	MraZ.1
MraZ	WP_057732289.1	MraZ.1
MraZ	WP_044011070.1	MraZ.1
MraZ	WP_253359671.1	MraZ.1
MraZ	WP_003706454.1	MraZ.1
MraZ	WP_135368472.1	MraZ.1
MraZ	WP_126831415.1	MraZ.1
MraZ	WP_126831415.1	MraZ.1
MraZ	WP_047767478.1	MraZ.1
MraZ	WP_041093904.1	MraZ.1
MraZ	WP_057825475.1	MraZ.1
MraZ	WP_117118006.1	MraZ.1
MraZ	WP_071855935.1	MraZ.1
MraZ	WP_003716829.1	MraZ.1
MraZ	WP_225047380.1	MraZ.1
MraZ	WP_102169021.1	MraZ.1
MraZ	WP_191911594.1	MraZ.1
MraZ	WP_025013187.1	MraZ.1
MraZ	WP_129300843.1	MraZ.1
MraZ	WP_057733805.1	MraZ.1
MraZ	WP_179395261.1	MraZ.1
MraZ	WP_057879417.1	MraZ.1
MraZ	WP_057879417.1	MraZ.1
MraZ	WP_172187249.1	MraZ.1
MraZ	WP_010488673.1	MraZ.1
MraZ	WP_168850073.1	MraZ.1
MraZ	WP_057886911.1	MraZ.1
MraZ	WP_057869030.1	MraZ.1
MraZ	WP_125682656.1	MraZ.1
MraZ	WP_125682656.1	MraZ.1
MraZ	WP_035168587.1	MraZ.1
MraZ	WP_125571952.1	MraZ.1
MraZ	WP_204652942.1	MraZ.1
MraZ	WP_034526151.1	MraZ.1
MraZ	WP_137597162.1	MraZ.1
MraZ	WP_057824010.1	MraZ.1
MraZ	WP_153861832.1	MraZ.1
MraZ	WP_125572715.1	MraZ.1
MraZ	WP_203630974.1	MraZ.1
MraZ	WP_057963046.1	MraZ.1
MraZ	WP_125984430.1	MraZ.1
MraZ	WP_027827316.1	MraZ.1
MraZ	WP_013727507.1	MraZ.1
MraZ	WP_039848828.1	MraZ.1
MraZ	WP_163705564.1	MraZ.1
MraZ	WP_003666752.1	MraZ.1
MraZ	WP_022528096.1	MraZ.1
MraZ	WP_057875850.1	MraZ.1
MraZ	WP_056982113.1	MraZ.1
MraZ	WP_125552087.1	MraZ.1
MraZ	WP_010620121.1	MraZ.1
MraZ	WP_111952023.1	MraZ.1
MraZ	WP_125546832.1	MraZ.1
MraZ	WP_125766578.1	MraZ.1
MraZ	WP_005685573.1	MraZ.1
MraZ	WP_057828944.1	MraZ.1
MraZ	WP_057799770.1	MraZ.1
MraZ	WP_125071083.1	MraZ.1
MraZ	WP_035028896.1	MraZ.1
MraZ	WP_257701558.1	MraZ.1
MraZ	WP_048605333.1	MraZ.1
MraZ	WP_048605333.1	MraZ.1
MraZ	WP_056944455.1	MraZ.1
MraZ	WP_057865899.1	MraZ.1
MraZ	WP_054648849.1	MraZ.1
MraZ	WP_125548802.1	MraZ.1
MraZ	WP_057765630.1	MraZ.1
MraZ	WP_006730074.1	MraZ.1
MraZ	WP_137637758.1	MraZ.1
MraZ	WP_054749290.1	MraZ.1
MraZ	WP_125750339.1	MraZ.1
MraZ	WP_003689810.1	MraZ.1
MraZ	WP_057744998.1	MraZ.1
MraZ	WP_187116926.1	MraZ.1
MraZ	WP_039933244.1	MraZ.1
MraZ	WP_099974635.1	MraZ.1
MraZ	WP_281164885.1	MraZ.1
MraZ	WP_099974635.1	MraZ.1
MraZ	WP_125008786.1	MraZ.1
MraZ	WP_125649018.1	MraZ.1
MraZ	WP_057736012.1	MraZ.1
MraZ	WP_057896628.1	MraZ.1
MraZ	WP_057870903.1	MraZ.1
MraZ	WP_003648596.1	MraZ.1
MraZ	WP_125714243.1	MraZ.1
MraZ	WP_125578221.1	MraZ.1
MraZ	WP_040458597.1	MraZ.1
MraZ	WP_057002285.1	MraZ.1
MraZ	WP_008210808.1	MraZ.1
MraZ	WP_076462298.1	MraZ.1
MraZ	WP_057797190.1	MraZ.1
MraZ	WP_125599272.1	MraZ.1
MraZ	WP_057752616.1	MraZ.1
MraZ	WP_125702528.1	MraZ.1
MraZ	WP_057818232.1	MraZ.1
MraZ	WP_057874251.1	MraZ.1
MraZ	WP_054723285.1	MraZ.1
MraZ	WP_003647097.1	MraZ.1
MraZ	WP_153710646.1	MraZ.1
MraZ	WP_003617448.1	MraZ.1
MraZ	WP_187291399.1	MraZ.1
MraZ	WP_003712686.1	MraZ.1
MraZ	WP_008469454.1	MraZ.1
MraZ	WP_071130819.1	MraZ.1
MraZ	WP_046324737.1	MraZ.1
MraZ	WP_252796547.1	MraZ.1
MraZ	WP_057768708.1	MraZ.1
MraZ	WP_035444932.1	MraZ.1
MraZ	WP_166006228.1	MraZ.1
MraZ	WP_125605291.1	MraZ.1
MraZ	WP_003565149.1	MraZ.1
MraZ	WP_056959983.1	MraZ.1
MraZ	WP_162924073.1	MraZ.1
MraZ	WP_076617666.1	MraZ.1
MraZ	WP_003546787.1	MraZ.1
MraZ	WP_046332010.1	MraZ.1
MraZ	WP_125943393.1	MraZ.1
MraZ	WP_057739289.1	MraZ.1
MraZ	WP_009553665.1	MraZ.1
MraZ	WP_010623875.1	MraZ.1
MraZ	WP_057706718.1	MraZ.1
MraZ	WP_125676611.1	MraZ.1
MraZ	WP_077276493.1	MraZ.1
MraZ	WP_121977470.1	MraZ.1
MraZ	WP_068224864.1	MraZ.1
MraZ	WP_220477808.1	MraZ.1
MraZ	WP_223901851.1	MraZ.1
MraZ	WP_002879140.1	MraZ.1
MraZ	WP_025079952.1	MraZ.1
MraZ	WP_046871808.1	MraZ.1
MraZ	WP_048702728.1	MraZ.1
MraZ	WP_103751521.1	MraZ.1
MraZ	WP_125712642.1	MraZ.1
MraZ	WP_057719426.1	MraZ.1
MraZ	WP_125980226.1	MraZ.1
MraZ	WP_112250121.1	MraZ.1
MraZ	WP_125592331.1	MraZ.1
MraZ	WP_154546987.1	MraZ.1
MraZ	WP_045927989.1	MraZ.1
MraZ	WP_045927989.1	MraZ.1
MraZ	WP_054450231.1	MraZ.1
MraZ	WP_138726602.1	MraZ.1
MraZ	WP_053359711.1	MraZ.1
MraZ	WP_125762665.1	MraZ.1
MraZ	WP_201330604.1	MraZ.1
MraZ	WP_125707186.1	MraZ.1
MraZ	WP_252767000.1	MraZ.1
MraZ	WP_013437620.1	MraZ.1
MraZ	WP_013437620.1	MraZ.1
MraZ	WP_057903545.1	MraZ.1
MraZ	WP_120142236.1	MraZ.1
MraZ	WP_008461145.1	MraZ.1
MraZ	WP_010009733.1	MraZ.1
MraZ	WP_011161838.1	MraZ.1
MraZ	WP_244055844.1	MraZ.1
MraZ	WP_004270711.1	MraZ.1
MraZ	WP_153384368.1	MraZ.1
MraZ	WP_252779677.1	MraZ.1
MraZ	WP_057773039.1	MraZ.1
MraZ	WP_041534593.1	MraZ.1
MraZ	WP_057752258.1	MraZ.1
MraZ	WP_050612502.1	MraZ.1
MraZ	WP_269023516.1	MraZ.1
MraZ	WP_038522316.1	MraZ.1
MraZ	WP_006351409.1	MraZ.1
MraZ	WP_034531808.1	MraZ.1
MraZ	WP_137634876.1	MraZ.1
MraZ	WP_137634876.1	MraZ.1
MraZ	WP_057887320.1	MraZ.1
MraZ	WP_057757584.1	MraZ.1
MraZ	WP_252750425.1	MraZ.1
MraZ	WP_048000060.1	MraZ.1
MraZ	WP_261805730.1	MraZ.1
MraZ	WP_056969554.1	MraZ.1
MraZ	WP_010020125.1	MraZ.1
MraZ	WP_074425462.1	MraZ.1
MraZ	WP_130843883.1	MraZ.1
MraZ	WP_252795382.1	MraZ.1
MraZ	WP_024625028.1	MraZ.1
MraZ	WP_057867418.1	MraZ.1
MraZ	WP_057806918.1	MraZ.1
MraZ	WP_031267795.1	MraZ.1
MraZ	WP_006703034.1	MraZ.1
MraZ	WP_059074160.1	MraZ.1
MraZ	WP_057783945.1	MraZ.1
MraZ	WP_057891043.1	MraZ.1
MraZ	WP_125567763.1	MraZ.1
MraZ	WP_057809662.1	MraZ.1
MraZ	WP_014073726.1	MraZ.1
MraZ	WP_034986640.1	MraZ.1
MraZ	WP_137645395.1	MraZ.1
MraZ	WP_153930217.1	MraZ.1
MraZ	WP_010580163.1	MraZ.1
MraZ	WP_007125381.1	MraZ.1
MraZ	WP_041499484.1	MraZ.1
MraZ	WP_041499484.1	MraZ.1
MraZ	WP_137643702.1	MraZ.1
MraZ	WP_227361322.1	MraZ.1
MraZ	WP_208422285.1	MraZ.1
MraZ	WP_251717311.1	MraZ.1
MraZ	WP_102197188.1	MraZ.1
MraZ	WP_209686550.1	MraZ.1
MraZ	WP_027107666.1	MraZ.1
MraZ	WP_119318930.1	MraZ.1
MraZ	WP_025084747.1	MraZ.1
MraZ	WP_027825447.1	MraZ.1
MraZ	WP_267202082.1	MraZ.1
MraZ	WP_220477021.1	MraZ.1
MraZ	WP_137629345.1	MraZ.1
MraZ	WP_054646696.1	MraZ.1
MraZ	WP_212781406.1	MraZ.1
MraZ	WP_057808337.1	MraZ.1
MraZ	WP_054643648.1	MraZ.1
MraZ	WP_054643648.1	MraZ.1
MraZ	WP_118908316.1	MraZ.1
MraZ	WP_119326937.1	MraZ.1
MraZ	WP_016184579.1	MraZ.1
MraZ	WP_033609554.1	MraZ.1
MraZ	WP_057812047.1	MraZ.1
MraZ	WP_033934927.1	MraZ.1
MraZ	WP_006587183.1	MraZ.1
MraZ	WP_006584520.1	MraZ.1
MraZ	WP_003644614.1	MraZ.1
MraZ	WP_003644614.1	MraZ.1
MraZ	WP_057880135.1	MraZ.1
MraZ	WP_017868310.1	MraZ.1
MraZ	WP_013773669.1	MraZ.1
MraZ	WP_014082275.1	MraZ.1
MraZ	WP_125589499.1	MraZ.1
MraZ	WP_017262806.1	MraZ.1
MraZ	WP_080695544.1	MraZ.1
MraZ	WP_027107368.1	MraZ.1
MraZ	WP_005718833.1	MraZ.1
MraZ	WP_178942277.1	MraZ.1
MraZ	WP_137616412.1	MraZ.1
MraZ	WP_087175784.1	MraZ.1
MraZ	WP_057907802.1	MraZ.1
MraZ	WP_176941842.1	MraZ.1
MraZ	WP_103662130.1	MraZ.1
MraZ	WP_025082534.1	MraZ.1
MraZ	WP_025024235.1	MraZ.1
MraZ	WP_009559983.1	MraZ.1
