Assembly Accession	Organism Name	CheckM contamination
GCF_949790605.1	Carnobacterium maltaromaticum	10.62
GCF_000744375.1	Carnobacterium gallinarum DSM 4847	10.16
GCF_003320875.1	Enterococcus gallinarum	10.84
GCF_027659535.1	Enterococcus malodoratus	10.87
GCF_948472335.1	Streptococcus bouchesdurhonensis	53.02
GCF_001544195.1	Tetragenococcus solitarius NBRC 100494	11.84
GCF_006385165.1	Streptococcus symci	16.28
