RepName	Prediction	RepSeq	Total	SeqList
DdlB.1	DdlB	WP_126793448.1	169	['WP_126793448.1', 'WP_071456034.1', 'WP_079346714.1', 'WP_125957740.1', 'WP_125984113.1', 'WP_136136931.1', 'WP_166033988.1', 'WP_114289079.1', 'WP_257701835.1', 'WP_015510426.1', 'WP_034693007.1', 'WP_010763884.1', 'WP_010769618.1', 'WP_010771063.1', 'WP_016173714.1', 'WP_010750659.1', 'WP_016183604.1', 'WP_016174016.1', 'WP_010754551.1', 'WP_016185151.1', 'WP_025873171.1', 'WP_208930315.1', 'WP_067621702.1', 'WP_069646405.1', 'WP_069653639.1', 'WP_069638914.1', 'WP_069634291.1', 'WP_071857845.1', 'WP_040366997.1', 'WP_071856037.1', 'WP_071877641.1', 'WP_069664673.1', 'WP_088269889.1', 'WP_095006573.1', 'WP_005875355.1', 'WP_010720335.1', 'WP_067483374.1', 'WP_019722696.1', 'WP_016179515.1', 'WP_103300322.1', 'WP_010782018.1', 'WP_015694609.1', 'WP_146622332.1', 'WP_137608879.1', 'WP_048604438.1', 'WP_137613076.1', 'WP_137618724.1', 'WP_088934227.1', 'WP_002293424.1', 'WP_161868163.1', 'WP_173103694.1', 'WP_188366841.1', 'WP_071861690.1', 'WP_010747172.1', 'WP_218326476.1', 'WP_002293424.1', 'WP_244353139.1', 'WP_010742809.1', 'WP_016251358.1', 'WP_122646274.1', 'WP_069028550.1', 'WP_028789906.1', 'WP_068707446.1', 'WP_123934756.1', 'WP_124006656.1', 'WP_006908365.1', 'WP_006308777.1', 'WP_028118660.1', 'WP_101813116.1', 'WP_102227889.1', 'WP_118989573.1', 'WP_138404488.1', 'WP_153861882.1', 'WP_218931482.1', 'WP_197115499.1', 'WP_092572413.1', 'WP_090289678.1', 'WP_078755525.1', 'WP_136953541.1', 'WP_126808144.1', 'WP_135255234.1', 'WP_248849333.1', 'WP_071131714.1', 'WP_126813723.1', 'WP_137598584.1', 'WP_209531233.1', 'WP_067978471.1', 'WP_025730510.1', 'WP_084098958.1', 'WP_003142235.1', 'WP_026465845.1', 'WP_068281170.1', 'WP_125980688.1', 'WP_057904034.1', 'WP_101953618.1', 'WP_006418719.1', 'WP_062532113.1', 'WP_035363973.1', 'WP_124057865.1', 'WP_077276125.1', 'WP_091489527.1', 'WP_003777835.1', 'WP_106194734.1', 'WP_146924878.1', 'WP_087059972.1', 'WP_091479944.1', 'WP_208559606.1', 'WP_091265427.1', 'WP_091633237.1', 'WP_091531707.1', 'WP_091897979.1', 'WP_209557604.1', 'WP_010762588.1', 'WP_067393320.1', 'WP_069696932.1', 'WP_126826233.1', 'WP_089747315.1', 'WP_020991268.1', 'WP_034571601.1', 'WP_166062852.1', 'WP_005607036.1', 'WP_092093089.1', 'WP_092653646.1', 'WP_092481217.1', 'WP_022796728.1', 'WP_027108933.1', 'WP_026314379.1', 'WP_028273693.1', 'WP_111973729.1', 'WP_125549140.1', 'WP_137637683.1', 'WP_057873083.1', 'WP_010009303.1', 'WP_125552226.1', 'WP_073298417.1', 'WP_085558786.1', 'WP_002355721.1', 'WP_023176749.1', 'WP_034551343.1', 'WP_035054544.1', 'WP_034560626.1', 'WP_035030246.1', 'WP_007721670.1', 'WP_106449937.1', 'WP_108033346.1', 'WP_107994605.1', 'WP_126109161.1', 'WP_086628970.1', 'WP_076768233.1', 'WP_166007298.1', 'WP_087032259.1', 'WP_086987009.1', 'WP_086943778.1', 'WP_089977761.1', 'WP_068621722.1', 'WP_086988888.1', 'WP_034547367.1', 'WP_010054511.1', 'WP_060778715.1', 'WP_060776809.1', 'WP_195852574.1', 'WP_071873937.1', 'WP_048604438.1', 'WP_204653357.1', 'WP_275468987.1', 'WP_009489641.1', 'WP_125943595.1', 'WP_126779368.1', 'WP_126832790.1']
DdlB.2	DdlB	WP_137618587.1	8	['WP_137618587.1', 'WP_048603487.1', 'WP_054744906.1', 'WP_054744906.1', 'WP_137608427.1', 'WP_137605593.1', 'WP_063856712.1', 'WP_001079845.1']
DdlB.3	DdlB	WP_136136902.1	1	['WP_136136902.1']
DdlB.4	DdlB	WP_022791324.1	221	['WP_022791324.1', 'WP_027698680.1', 'WP_057786698.1', 'WP_124942790.1', 'WP_148622262.1', 'WP_205144487.1', 'WP_009553738.1', 'WP_014073754.1', 'WP_025021457.1', 'WP_025021620.1', 'WP_057783863.1', 'WP_020280459.1', 'WP_035166910.1', 'WP_054654930.1', 'WP_056983639.1', 'WP_056982965.1', 'WP_057823827.1', 'WP_057962865.1', 'WP_039105113.1', 'WP_125008613.1', 'WP_125545933.1', 'WP_056979967.1', 'WP_056981528.1', 'WP_003553607.1', 'WP_057911122.1', 'WP_203630369.1', 'WP_013727700.1', 'WP_057872498.1', 'WP_019205259.1', 'WP_057746670.1', 'WP_057735585.1', 'WP_056961165.1', 'WP_010580854.1', 'WP_057896169.1', 'WP_056967354.1', 'WP_057829081.1', 'WP_057875044.1', 'WP_003688946.1', 'WP_204777018.1', 'WP_057869085.1', 'WP_057885504.1', 'WP_050612028.1', 'WP_280606200.1', 'WP_281164685.1', 'WP_057906509.1', 'WP_056957418.1', 'WP_057826866.1', 'WP_112194681.1', 'WP_010688690.1', 'WP_253361770.1', 'WP_181647360.1', 'WP_181647360.1', 'WP_087118333.1', 'WP_057755691.1', 'WP_070229377.1', 'WP_213408684.1', 'WP_054646337.1', 'WP_056957487.1', 'WP_075270100.1', 'WP_010373525.1', 'WP_003609155.1', 'WP_115471513.1', 'WP_042491591.1', 'WP_074427205.1', 'WP_187528540.1', 'WP_002827730.1', 'WP_009496105.1', 'WP_258089026.1', 'WP_092462608.1', 'WP_089940305.1', 'WP_133442320.1', 'WP_148605566.1', 'WP_013103085.1', 'WP_010383809.1', 'WP_010015920.1', 'WP_010008842.1', 'WP_014974909.1', 'WP_068850980.1', 'WP_085699317.1', 'WP_011679162.1', 'WP_010279719.1', 'WP_168676495.1', 'WP_220734630.1', 'WP_220740795.1', 'WP_220742632.1', 'WP_204769918.1', 'WP_260376593.1', 'WP_072612990.1', 'WP_137602279.1', 'WP_007123509.1', 'WP_039144329.1', 'WP_041094145.1', 'WP_044009896.1', 'WP_093625809.1', 'WP_057863868.1', 'WP_056936646.1', 'WP_010622820.1', 'WP_056995172.1', 'WP_047768025.1', 'WP_057780875.1', 'WP_057739536.1', 'WP_057807789.1', 'WP_057752621.1', 'WP_057707699.1', 'WP_046871384.1', 'WP_057772375.1', 'WP_109251002.1', 'WP_122481879.1', 'WP_125071939.1', 'WP_125766027.1', 'WP_125573391.1', 'WP_125581318.1', 'WP_125681879.1', 'WP_125685616.1', 'WP_125691442.1', 'WP_125640725.1', 'WP_135367653.1', 'WP_137624731.1', 'WP_137606491.1', 'WP_137615611.1', 'WP_137628755.1', 'WP_137597429.1', 'WP_130845658.1', 'WP_137644036.1', 'WP_137642023.1', 'WP_054398615.1', 'WP_057807119.1', 'WP_003644652.1', 'WP_019251361.1', 'WP_153710180.1', 'WP_153930416.1', 'WP_191684251.1', 'WP_033934410.1', 'WP_204120186.1', 'WP_203646127.1', 'WP_182596710.1', 'WP_182597458.1', 'WP_231823104.1', 'WP_182580622.1', 'WP_261810118.1', 'WP_062812474.1', 'WP_040531638.1', 'WP_267200958.1', 'WP_102168076.1', 'WP_021732580.1', 'WP_003682759.1', 'WP_057889353.1', 'WP_076461111.1', 'WP_121977299.1', 'WP_242333628.1', 'WP_251576180.1', 'WP_166011468.1', 'WP_013989616.1', 'WP_168722125.1', 'WP_027107391.1', 'WP_133362675.1', 'WP_205143421.1', 'WP_230097231.1', 'WP_230098849.1', 'WP_172189291.1', 'WP_056978200.1', 'WP_227360561.1', 'WP_178914428.1', 'WP_024625238.1', 'WP_048000162.1', 'WP_003639204.1', 'WP_137639271.1', 'WP_137634635.1', 'WP_057810699.1', 'WP_161000831.1', 'WP_102279354.1', 'WP_129031303.1', 'WP_082078100.1', 'WP_048732159.1', 'WP_020088392.1', 'WP_057733275.1', 'WP_057804532.1', 'WP_057878619.1', 'WP_125701137.1', 'WP_143462808.1', 'WP_056943880.1', 'WP_057733228.1', 'WP_203641787.1', 'WP_168849513.1', 'WP_213820203.1', 'WP_061992811.1', 'WP_187753944.1', 'WP_168778678.1', 'WP_213793399.1', 'WP_213821085.1', 'WP_213809242.1', 'WP_248661751.1', 'WP_252444047.1', 'WP_252773528.1', 'WP_059378598.1', 'WP_091502639.1', 'WP_220751373.1', 'WP_056966759.1', 'WP_061776812.1', 'WP_260116626.1', 'WP_249511661.1', 'WP_053949843.1', 'WP_105957151.1', 'WP_120784555.1', 'WP_125575358.1', 'WP_105988235.1', 'WP_140924305.1', 'WP_138726962.1', 'WP_041152735.1', 'WP_054449829.1', 'WP_220730117.1', 'WP_208910237.1', 'WP_252750045.1', 'WP_009166528.1', 'WP_252796991.1', 'WP_252767378.1', 'WP_252795786.1', 'WP_252780613.1', 'WP_286136525.1', 'WP_251547255.1', 'WP_057748057.1']
DdlB.5	DdlB	WP_269026242.1	2	['WP_269026242.1', 'WP_225416510.1']
DdlB.6	DdlB	WP_230913188.1	14	['WP_230913188.1', 'WP_035452036.1', 'WP_125714684.1', 'WP_164506651.1', 'WP_125768265.1', 'WP_164511073.1', 'WP_125646630.1', 'WP_225420447.1', 'WP_057825312.1', 'WP_057753506.1', 'WP_261806578.1', 'WP_186810157.1', 'WP_022530795.1', 'WP_057822306.1']
DdlB.7	DdlB	WP_209525051.1	9	['WP_209525051.1', 'WP_244351560.1', 'WP_015510155.1', 'WP_063856645.1', 'WP_010773051.1', 'WP_010758368.1', 'WP_209558357.1', 'WP_227259175.1', 'WP_126796369.1']
DdlB.8	DdlB	WP_109244987.1	142	['WP_109244987.1', 'WP_183538217.1', 'WP_068162642.1', 'WP_094784875.1', 'WP_096040018.1', 'WP_096814507.1', 'WP_031366548.1', 'WP_188347840.1', 'WP_109835255.1', 'WP_172356168.1', 'WP_172208700.1', 'WP_180745704.1', 'WP_021036701.1', 'WP_120773379.1', 'WP_142767431.1', 'WP_042217651.1', 'WP_200407047.1', 'WP_017368793.1', 'WP_213536544.1', 'WP_058204068.1', 'WP_019294198.1', 'WP_251422775.1', 'WP_251712622.1', 'WP_003078856.1', 'WP_012775216.1', 'WP_006149434.1', 'WP_006146332.1', 'WP_032910468.1', 'WP_000814667.1', 'WP_018167693.1', 'WP_018365218.1', 'WP_018368413.1', 'WP_018369859.1', 'WP_018376023.1', 'WP_018379285.1', 'WP_018381258.1', 'WP_027975538.1', 'WP_027970950.1', 'WP_027973319.1', 'WP_037615108.1', 'WP_045611153.1', 'WP_093650432.1', 'WP_021001925.1', 'WP_057490727.1', 'WP_000032513.1', 'WP_068993995.1', 'WP_071792747.1', 'WP_075104442.1', 'WP_076995301.1', 'WP_208912158.1', 'WP_003063795.1', 'WP_007521202.1', 'WP_117745017.1', 'WP_119876934.1', 'WP_120171459.1', 'WP_120718584.1', 'WP_023026556.1', 'WP_120770454.1', 'WP_121836142.1', 'WP_126467426.1', 'WP_132973790.1', 'WP_135781944.1', 'WP_003063795.1', 'WP_115904063.1', 'WP_061759288.1', 'WP_140813843.1', 'WP_146565425.1', 'WP_003089269.1', 'WP_157628816.1', 'WP_160332139.1', 'WP_165993611.1', 'WP_009853758.1', 'WP_049514418.1', 'WP_006531508.1', 'WP_132869375.1', 'WP_199574922.1', 'WP_024052823.1', 'WP_209626777.1', 'WP_209551481.1', 'WP_200772263.1', 'WP_212570652.1', 'WP_042750711.1', 'WP_219967018.1', 'WP_237396024.1', 'WP_261805218.1', 'WP_154455117.1', 'WP_075565871.1', 'WP_027967937.1', 'WP_074486195.1', 'WP_037565728.1', 'WP_003000231.1', 'WP_013903287.1', 'WP_018370853.1', 'WP_115270272.1', 'WP_018029422.1', 'WP_005589562.1', 'WP_020916414.1', 'WP_037589469.1', 'WP_126403967.1', 'WP_000814678.1', 'WP_007894766.1', 'WP_060553345.1', 'WP_003083583.1', 'WP_251458100.1', 'WP_000814626.1', 'WP_261814842.1', 'WP_008090717.1', 'WP_003101104.1', 'WP_018366854.1', 'WP_029691837.1', 'WP_027970542.1', 'WP_054278701.1', 'WP_062712081.1', 'WP_003108189.1', 'WP_104968278.1', 'WP_164405779.1', 'WP_168548114.1', 'WP_206156346.1', 'WP_046176937.1', 'WP_199566946.1', 'WP_018372790.1', 'WP_115242978.1', 'WP_002994369.1', 'WP_067063216.1', 'WP_116878659.1', 'WP_221912926.1', 'WP_064519486.1', 'WP_019777221.1', 'WP_205010044.1', 'WP_205017553.1', 'WP_253362583.1', 'WP_004228485.1', 'WP_014634913.1', 'WP_011226418.1', 'WP_070788747.1', 'WP_070792138.1', 'WP_128833616.1', 'WP_002265801.1', 'WP_234984632.1', 'WP_075098886.1', 'WP_067088685.1', 'WP_006739482.1']
DdlB.9	DdlB	WP_056974062.1	48	['WP_056974062.1', 'WP_034563210.1', 'WP_229252231.1', 'WP_002877797.1', 'WP_008462908.1', 'WP_154548275.1', 'WP_201331307.1', 'WP_212781390.1', 'WP_016395952.1', 'WP_013436982.1', 'WP_003548727.1', 'WP_025015248.1', 'WP_025005593.1', 'WP_014918107.1', 'WP_103662039.1', 'WP_158181647.1', 'WP_188891764.1', 'WP_007127015.1', 'WP_057809376.1', 'WP_008470170.1', 'WP_009560637.1', 'WP_046331487.1', 'WP_046324168.1', 'WP_057798700.1', 'WP_025081342.1', 'WP_090093939.1', 'WP_109715039.1', 'WP_045927421.1', 'WP_109917929.1', 'WP_006352485.1', 'WP_035430105.1', 'WP_056970185.1', 'WP_003647974.1', 'WP_006734792.1', 'WP_004898551.1', 'WP_209686200.1', 'WP_210145058.1', 'WP_220220590.1', 'WP_223902897.1', 'WP_198213559.1', 'WP_117118572.1', 'WP_251716556.1', 'WP_006585562.1', 'WP_027825197.1', 'WP_008472764.1', 'WP_006586177.1', 'WP_056945890.1', 'WP_056945890.1']
FtsA.1	FtsA	WP_004635752.1	14	['WP_004635752.1', 'WP_003776263.1', 'WP_106190665.1', 'WP_091478996.1', 'WP_091489089.1', 'WP_186805115.1', 'WP_091264571.1', 'WP_091635045.1', 'WP_091527789.1', 'WP_091759489.1', 'WP_208558847.1', 'WP_091898003.1', 'WP_084136646.1', 'WP_027107659.1']
