prediction	Accession
DdlB	['WP_002355721.1', 'WP_067974388.1', 'WP_034571601.1', 'WP_002368691.1']
FtsA	['WP_002355898.1', 'WP_067972065.1', 'WP_034569055.1']
FtsI	['WP_002381310.1', 'WP_067972080.1', 'WP_034569043.1']
FtsL	['WP_067395339.1', 'WP_070430579.1', 'WP_074403178.1']
FtsQ	['WP_002403791.1', 'WP_074403173.1', 'WP_070430584.1']
FtsW	['WP_067976467.1', 'WP_034570551.1', 'WP_034570548.1', 'WP_034569302.1', 'WP_119908397.1', 'WP_002395094.1', 'WP_002357833.1', 'WP_002356686.1', 'WP_002356636.1']
FtsZ	['WP_002355899.1', 'WP_067972064.1', 'WP_119908219.1']
MraW	['WP_067972085.1', 'WP_119908226.1', 'WP_002355891.1']
MraY	['WP_002355894.1', 'WP_067972077.1', 'WP_119908223.1']
MraZ	['WP_067972087.1', 'WP_034573446.1', 'WP_002355890.1']
MurA	['WP_002356562.1', 'WP_067971521.1', 'WP_067974364.1', 'WP_034571641.1', 'WP_119907708.1', 'WP_002357969.1']
MurB	['WP_002356404.1', 'WP_067975759.1', 'WP_119908574.1']
MurC	['WP_002357163.1', 'WP_067975245.1', 'WP_119907841.1', 'WP_119908222.1']
MurD	['WP_002355895.1', 'WP_067972075.1', 'WP_119908222.1']
MurE	['WP_010707827.1', 'WP_067975596.1', 'WP_119908224.1']
MurF	['WP_002355722.1', 'WP_067974392.1', 'WP_119907576.1']
MurG	['WP_002355896.1', 'WP_067972071.1', 'WP_119908221.1']
