Assembly Accession	Organism Name	CheckM completeness
GCF_001543105.1	Aerococcus christensenii	74.68
GCF_900176325.1	Aerococcus suis	76.59
GCF_005405245.1	Enterococcus nangangensis	78.49
GCF_900111135.1	Granulicatella balaenopterae	74.82
GCF_003864335.1	Lentilactobacillus kosonis	64.25
GCF_005405145.1	Paucilactobacillus kaifaensis	72.63
GCF_003052295.1	Trichococcus paludicola	73.22
