accession	name	MraZ	MraW	FtsL	FtsI	MurE	MurF	MraY	MurD	FtsW	MurG	MurC	MurB	MurA	DdlB	FtsQ	FtsA	FtsZ
GCF_013267415.1	Abiotrophia defectiva	3	3	0	1	1	2	2	1	5	3	3	3	6	4	1	3	3
GCF_004359375.1	Acetilactobacillus jinshanensis	0	1	0	2	1	3	3	0	9	3	2	1	0	2	3	3	3
GCF_001543105.1	Aerococcus christensenii	3	3	2	2	1	2	1	2	3	3	1	3	5	4	2	3	3
GCF_905113025.1	Aerococcus sanguinicola	3	3	3	2	1	2	3	1	2	3	2	2	5	4	2	3	3
GCF_900176325.1	Aerococcus suis	3	3	3	2	2	3	2	1	3	3	3	3	6	4	3	3	3
GCF_001543175.1	Aerococcus urinae	3	3	2	2	1	2	1	2	2	3	2	3	6	4	2	0	3
GCF_001518795.1	Aerococcus urinaeequi	3	3	2	2	2	2	2	1	2	3	3	3	6	3	2	3	3
GCF_001543245.1	Aerococcus urinaehominis	3	3	2	2	1	2	2	1	3	3	1	3	6	4	1	3	2
GCF_001543285.1	Aerococcus viridans	3	3	2	2	2	2	2	1	3	3	3	3	6	3	2	3	3
GCF_001436375.1	Agrilactobacillus composti	3	0	2	3	2	3	3	3	10	3	2	3	3	4	3	3	3
GCF_021030645.1	Agrilactobacillus fermenti	3	0	2	3	0	3	3	3	9	3	1	2	3	4	3	3	3
GCF_003946725.1	Agrilactobacillus yilanensis	3	2	2	3	2	3	3	3	6	3	0	3	3	4	3	3	3
GCF_900109085.1	Alkalibacterium gilvum	3	3	2	2	2	2	3	3	5	2	3	3	6	4	3	1	3
GCF_007988865.1	Alkalibacterium kapii	3	3	2	3	3	2	3	2	5	2	3	3	6	4	3	0	3
GCF_003003275.1	Alkalibacterium olivapovliticus	3	3	2	2	3	2	3	3	8	2	3	3	6	4	3	1	3
GCF_007991315.1	Alkalibacterium pelagium	3	3	3	3	3	2	1	2	8	3	3	3	6	4	3	1	3
GCF_007988845.1	Alkalibacterium putridalgicola	3	3	3	3	3	2	3	2	7	2	3	0	6	4	2	1	3
GCF_900112455.1	Alkalibacterium subtropicum	3	3	3	2	3	2	3	2	6	2	3	0	6	4	3	1	3
GCF_900101165.1	Alkalibacterium thalassium	3	3	3	3	2	2	1	1	5	3	3	3	6	4	3	1	3
GCF_000374325.1	Allofustis seminis	3	3	2	2	2	2	2	1	6	0	3	3	6	4	3	1	2
